player_name,season,wk,Game_date,OPP,Result,AST,PDEF,page_url
Carlos Watkins,Regular Season,15,12/20/2020,Colts,L 20 - 27,2,0,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,14,12/13/2020,Bears,L 7 - 36,1,0,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,13,12/06/2020,Colts,L 20 - 26,2,0,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,12,11/26/2020,Lions,W 41 - 25,0,0,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,11,11/22/2020,Patriots,W 27 - 20,0,1,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,10,11/15/2020,Browns,L 7 - 10,1,1,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,9,11/08/2020,Jaguars,W 27 - 25,0,1,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,7,10/25/2020,Packers,L 20 - 35,0,0,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,2,09/20/2020,Ravens,L 16 - 33,,,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,6,10/18/2020,Titans,L 36 - 42,0,0,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,1,09/11/2020,Chiefs,L 20 - 34,,,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,5,10/11/2020,Jaguars,W 30 - 14,0,0,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,4,10/04/2020,Vikings,L 23 - 31,1,0,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,3,09/27/2020,Steelers,L 21 - 28,0,0,https://www.nfl.com/players/carlos-watkins/stats/logs/
Jaylen Watkins,Regular Season,17,01/03/2021,Chiefs,W 38 - 21,0,0,https://www.nfl.com/players/jaylen-watkins/stats/logs/
Jaylen Watkins,Regular Season,15,12/18/2020,Raiders,W 30 - 27,0,0,https://www.nfl.com/players/jaylen-watkins/stats/logs/
Jaylen Watkins,Regular Season,11,11/22/2020,Jets,W 34 - 28,,,https://www.nfl.com/players/jaylen-watkins/stats/logs/
Sammy Watkins,Regular Season,17,01/03/2021,Chargers,L 21 - 38,,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,16,12/27/2020,Falcons,W 17 - 14,7,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,15,12/20/2020,Saints,W 32 - 29,15,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,14,12/13/2020,Dolphins,W 33 - 27,26,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,13,12/07/2020,Broncos,W 22 - 16,8.8,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,12,11/29/2020,Buccaneers,W 27 - 24,9.5,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,11,11/23/2020,Raiders,W 35 - 31,,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,9,11/08/2020,Panthers,W 33 - 31,,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,8,11/01/2020,Jets,W 35 - 9,,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,3,09/29/2020,Ravens,W 34 - 20,8.9,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,7,10/25/2020,Broncos,W 43 - 16,,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,2,09/20/2020,Chargers,W 23 - 20,11,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,6,10/19/2020,Bills,W 26 - 17,,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,1,09/11/2020,Texans,W 34 - 20,11.7,1,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,5,10/11/2020,Raiders,L 32 - 40,12,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Regular Season,4,10/05/2020,Patriots,W 26 - 10,10.8,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Sammy Watkins,Post Season,2,01/17/2021,Browns,W 22 - 17,,,https://www.nfl.com/players/sammy-watkins/stats/logs/
Deshaun Watson,Regular Season,17,01/03/2021,Titans,L 38 - 41,365,1,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,16,12/27/2020,Bengals,L 31 - 37,324,0,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,15,12/20/2020,Colts,L 20 - 27,373,0,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,14,12/13/2020,Bears,L 7 - 36,219,0,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,13,12/06/2020,Colts,L 20 - 26,341,1,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,12,11/26/2020,Lions,W 41 - 25,318,0,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,11,11/22/2020,Patriots,W 27 - 20,344,0,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,10,11/15/2020,Browns,L 7 - 10,163,0,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,9,11/08/2020,Jaguars,W 27 - 25,281,0,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,7,10/25/2020,Packers,L 20 - 35,309,0,https://www.nfl.com/players/deshaun-watson/stats/logs/
